Title,Publisher,Date,Link
From Bitcoin to Shitcoin: A Regular Person's Guide to Crypto,VICE,2021-04-15,https://www.vice.com/en/article/bvxwya/from-bitcoin-to-shitcoin-a-regular-persons-guide-to-crypto
"TA: Bitcoin Consolidates, Here’s Why BTC Could Surge Above $64K",NewsBTC,2021-04-15,https://www.newsbtc.com/analysis/btc/bitcoin-btc-could-surge-64k/
Berlin Hard Fork Is Now Live on Ethereum,CoinDesk,2021-04-15,https://www.coindesk.com/tech/2021/04/15/berlin-hard-fork-is-now-live-on-ethereum/
Societe Generale Issues a Security Token on the Tezos Blockchain,CryptoPotato,2021-04-15,https://cryptopotato.com/societe-generale-issues-a-security-token-on-the-tezos-blockchain/
"Dilbert Creator Puts the 'F' in NFT, Fans Go 'Nuts'",Decrypt,2021-04-15,https://decrypt.co/66708/dilbert-creator-nft-fans-go-nuts
"Tether on Tron Blockchain Hits $24B, Surpassing Ethereum Amid Explosive Stablecoin Demand",CoinDesk,2021-04-15,https://www.coindesk.com/markets/2021/04/15/tether-on-tron-blockchain-hits-24b-surpassing-ethereum-amid-explosive-stablecoin-demand/
"NYPD's Crypto Sleuthing Is Powered by Chainalysis, Documents Show",CoinDesk,2021-04-15,https://www.coindesk.com/policy/2021/04/15/nypds-crypto-sleuthing-is-powered-by-chainalysis-documents-show/
"Coinbase, Before It Was Inevitable",CoinDesk,2021-04-15,https://www.coindesk.com/business/2021/04/15/coinbase-before-it-was-inevitable/
"Crypto Lender Celsius Hit With Data Breach, Some Client Info Exposed",Decrypt,2021-04-15,https://decrypt.co/66688/celsius-data-breach
Zebi’s and Gaames’s NFTs for Cricket on Local Platform,CryptoNewsZ,2021-04-15,https://www.cryptonewsz.com/zebis-and-gaamess-nfts-for-cricket-on-local-platform/
Add Coinbase to the List of Crypto Stocks HSBC Won't Touch,CoinDesk,2021-04-15,https://www.coindesk.com/business/2021/04/15/add-coinbase-to-the-list-of-crypto-stocks-hsbc-wont-touch/
Elon Musk 'Moon' Tweet Sends Dogecoin Flying High Again,Decrypt,2021-04-15,https://decrypt.co/66700/elon-musk-moon-tweet-sends-dogecoin-flying-high-again
"Crypto Can Become a Great Asset Class, Says BlackRock CEO",CryptoPotato,2021-04-15,https://cryptopotato.com/crypto-can-become-a-great-asset-class-says-blackrock-ceo/
Chainlink Is Building an Off-Chain Oracle Network,CoinDesk,2021-04-15,https://www.coindesk.com/markets/2021/04/15/chainlink-is-building-an-off-chain-oracle-network/
"TRON-Based USDT Hits $24 Billion, More Than the Tether on Ethereum",CryptoPotato,2021-04-15,https://cryptopotato.com/tron-based-usdt-hits-24-billion-more-than-the-tether-on-ethereum/
Ethereum Price Analysis: 15 April,AMBCrypto,2021-04-15,https://ambcrypto.com/ethereum-price-analysis-15-april/
XRP Price Analysis: 15 April,AMBCrypto,2021-04-15,https://ambcrypto.com/xrp-price-analysis-15-april/
Chennai Super Kings vs Punjab Kings: PBKS vs CSK ...,CrowdWisdom360,2021-04-15,https://crowdwisdom.live/sports/chennai-super-kings-vs-punjab-kings-pbks-vs-csk-dream11-team-predictions/
NFT Explosion Coming over Next 2 Years & Will Create Jobs ...,Crypto News,2021-04-15,https://cryptonews.com/news/nft-explosion-coming-over-next-2-years-will-create-jobs-say-9936.htm
