Title,Publisher,Date,Link
Market Wrap: Ethereum Keeps Burning and Price Is Hot,CoinDesk,2021-08-13,https://www.coindesk.com/markets/2021/08/13/market-wrap-ethereum-keeps-burning-and-price-is-hot/
"Cardano, Solana and Polkadot compete for dominance ahead of Ethereum's ETH2 upgrade",FXStreet,2021-08-13,https://www.fxstreet.com/cryptocurrencies/news/cardano-solana-and-polkadot-compete-for-dominance-ahead-of-ethereums-eth2-upgrade-202108130916
Ethereum alone not enough to disrupt Big Tech: Jack Dorsey,Cointelegraph,2021-08-13,https://cointelegraph.com/news/ethereum-alone-not-enough-to-disrupt-big-tech-jack-dorsey
Why Ethereum Miners Are Making A Million Dollar Bet Against ...,Markets Insider,2021-08-13,https://markets.businessinsider.com/news/stocks/why-ethereum-miners-are-making-a-million-dollar-bet-against-proof-of-stake-1030729703
"Poly Network offers $500,000 reward to crypto hacker who returned stolen assets",Engadget,2021-08-13,https://www.engadget.com/poly-network-rewards-crypto-hacker-121507483.html
Cardano Jumps on Signals Smart Contracts Coming Next Month,CoinDesk,2021-08-13,https://www.coindesk.com/markets/2021/08/13/cardano-jumps-on-signals-smart-contracts-coming-next-month/
"These Four Ethereum Competitors Are Set To Explode This Year, According to Altcoin Daily",The Daily Hodl,2021-08-13,https://dailyhodl.com/2021/08/13/these-four-ethereum-competitors-are-set-to-explode-this-year-according-to-altcoin-daily/
What are stablecoins? A major meltdown means all eyes are on the alternative to Bitcoin and Ethereum,Fortune,2021-08-13,https://fortune.com/2021/08/13/what-are-stablecoins-crypto-bitcoin-ethereum-dogecoin/
How A Buyer Acquired 104 CryptoPunks In A Single Ethereum Block,Bitcoinist,2021-08-13,https://bitcoinist.com/how-an-anonymous-buyer-acquired-104-cryptopunks-for-7-million-in-a-single-ethereum-block/
Holly Herndon Launches Music NFT Auction House on Ethereum,Decrypt,2021-08-13,https://decrypt.co/78475/holly-plus-auction-house
Cathie Wood's Ark Leads Pack Adding to Grayscale Ethereum ...,TheStreet,2021-08-13,https://www.thestreet.com/crypto/ethereum/ark-adds-to-grayscale-ethereum-holdings
"Solana, Ethereum and Ethereum Classic Price Analysis: August 13",AMBCrypto,2021-08-13,https://ambcrypto.com/solana-ethereum-and-ethereum-classic-price-analysis-august-13/
Chicago’s First NFT Gallery imnotArt Lives in the Ethereum Metaverse Too,Decrypt,2021-08-13,https://decrypt.co/78511/chicago-nft-gallery-imnotart-ethereum-metaverse
Non-Fungible Penguins Are Taking Over the NFT Scene,Crypto News,2021-08-13,https://cryptonews.com/news/adorable-penguins-are-taking-over-the-nft-scene-11427.htm
Why Polkadot traders must stay cautious,AMBCrypto,2021-08-13,https://ambcrypto.com/why-polkadot-traders-must-stay-cautious/
What Blockchain Oracles Do Not See,CoinDesk,2021-08-13,https://www.coindesk.com/markets/2021/08/13/what-blockchain-oracles-do-not-see/
IRS Won't Go After Bitcoin Miners Regardless of ‘Broker’ Definition: Reports,Decrypt,2021-08-13,https://decrypt.co/78530/irs-wont-go-after-bitcoin-miners-regardless-broker-definition-reports
Axie Infinity is Going Crazy,CryptosRus,2021-08-13,https://cryptosrus.com/axie-infinity-is-going-crazy/
